Escalation ID,Summary,Priority,Escalation Status
PME-41747,Unable to complete ICs,P2 - High,New
PME-41744,Incorrect 140% amount on the Mississippi TIC,P2 - High,New
PME-41740,Unable to undo move out,P2 - High,New
PME-41689,Null error when finalizing 2/11/18 GR for unit 5-504 Jenson,P2 - High,QA
PME-41684,XML File error - SSN attribute is invalid,P2 - High,New
PME-41682,Error message on Today's tab,P3 - Medium,QA
PME-41613,total number of units on Tenant Profile Compliance report,P3 - Medium,New
PME-41490,Unable to generate Annual recertification notices,P2 - High,Analysis
PME-41456,Deposit total not available after undoing FAS,P2 - High,Dev
PME-41435,Alerts & Approval Snapshot Not Displaying Anything,P2 - High,Analysis
PME-41409,Incorrect unit counts on LIHTC-HUD Tenant and Project Data Worksheet,P3 - Medium,Dev
PME-41392,Issues with termination,P2 - High,Dev
PME-41344,INC0166700 - Status Check Error When Generating A Letter,P2 - High,Dev
PME-41287,Ongoing  HUD repayment issues,P2 - High,New
PME-41268,Annual recert notices not autogenerating,P2 - High,Dev
PME-41260,Lease Addendum showing incorrect next recertification date,P2 - High,Dev
PME-41249,Incorrect Unit Number on the Certitication,P2 - High,Dev
PME-41248,Error on 120 day AR notices (two properties) attempting to view notices,P2 - High,Dev
PME-41197,"Recert reporting ""N"" after unit transfer - Texas Unit Status report",P2 - High,Dev
PME-41074,IHFA Self-Certification MI Date Error,P3 - Medium,Dev
PME-41055,Unit numbers cut off on Future HAP Adjustments Report,P3 - Medium,Dev
PME-41013,TRACS error: invalid release on TRACS version,P2 - High,Dev
PME-40974,4/1/2018 voucher has incorrect adjustments,P2 - High,Dev
PME-40961,Retroactive gross rent change created positive vacancy adjustment on occupied,P2 - High,Dev
PME-40945,Units-Residential not updating with Affordable Rent schedule.,P2 - High,Dev
PME-40941,Florida USR showing incorrect information in columns 14-17.,P2 - High,Dev
PME-40911,Unable to save annual recertification notices,P3 - Medium,Dev
PME-40903,Combining Repayment Plans,P3 - Medium,Pending Verification
PME-40766,Screening for Applicant Latasha Renee Ross missing,P2 - High,New
PME-40680,Billing did not post for some units,P3 - Medium,Dev
PME-40669,Annual Recertification TIC pulling Initial effective date as the move in date,P2 - High,New
PME-40588,Move in date on texas EAC is not matching,P2 - High,Dev
PME-40539,AR  snapshot missing on  the today page.,P2 - High,New
PME-40537,"""Remove unit from contract"" on termination completion is not working",P3 - Medium,New
PME-40526,Incorrect adjustments for move out correction,P2 - High,New
PME-40510,Unable to undo MO/MI to process UT,P2 - High,New
PME-40505,Next Annual recertification date is incorrect,P3 - Medium,New
PME-40451,Need assistance with HUD repay ledger,P3 - Medium,New
PME-40438,Next Annual Recert Report shows Market renter,P3 - Medium,QA
PME-40373,Server Was Unable to Process Request ---> Exception Has Been Thrown By The,P2 - High,Pending Verification
PME-40298,Error message when on the Today Page XML output stream is invalid,P3 - Medium,QA
PME-40293,Gross Rent change isn't picking up Market Units,P2 - High,Dev
PME-40264,Annual recertification notices not running on date set up for.,P2 - High,Analysis
PME-40254,Rental Assistance does not transmit to OSA to correct sub-property/entity,P3 - Medium,Analysis
PME-40157,Repayment Agreement - Deferred Option,P3 - Medium,QA Complete
PME-40155,Cannot Undo MO To Process UT For A Resident,P2 - High,Dev
PME-40109,Missing Calculations on a 3560-8,P2 - High,Pending Verification
PME-40076,Subsidy charges removed when undoing move out,P2 - High,Pending Analysis
PME-40049,Incorrect Income Limit showing on the Certifications,P3 - Medium,New
PME-40036,Month End Report,P2 - High,New
PME-40028,Utility Reimbursement Checks Showing in RPA,P3 - Medium,New
PME-39988,Why SSN exception code is required,P3 - Medium,Pending Analysis
PME-39978,Old TIC showing as approved/unfinalized on the today page,P2 - High,New
PME-39973,"Scheduled Reports Stuck ""In Process""",P2 - High,New
PME-39915,Tax Credit Gross Rent Change Not Updating Scheduled Billing Correctly,P3 - Medium,New
PME-39903,Utility allowance reimbursement posting incorrectly on resident ledgers,P3 - Medium,New
PME-39866,Object reference error when updating affordable rent schedule,P2 - High,QA
PME-39860,Letter not showing on resident,P2 - High,Analysis
PME-39720,Household Income at Move-In,P2 - High,QA
PME-39711,Update race ethnicity and disability fields for tenants in Oceangate,P3 - Medium,New
PME-39699,Part IV of New Jersey TIC showing incorrect info,P2 - High,QA Complete
PME-39605,Wrong List of applicant Uploaded,P3 - Medium,Dev
PME-39564,Cannot select all in Bulk scheduled billing update,P2 - High,New
PME-39532,M/O & M/O (7 mths ago) caused Ltor & Gtol,P2 - High,New
PME-39477,Wrong name on Unit Available Notice,P3 - Medium,New
PME-39425,PIC file only pulling one family record when there should be two,P3 - Medium,QA Complete
PME-39393,Completed Annual Recertification Showing As Past Due On Today Page And Reports,P3 - Medium,New
PME-39242,**Root Cause ** Program type missing on move out certification,P3 - Medium,Dev
PME-39235,Incorrect Number of Dependents on PIC files,P2 - High,Analysis
PME-39137,Onesite unit status report does not pull income limits at move in,P2 - High,Dev
PME-39073,Resident Selection Preferences Report not showing any Data,P2 - High,Dev
PME-38977,Move in dates missing from Waiting List Report,P3 - Medium,Dev
PME-38884,Error: SiteID='2003619' FileID='237540' Message: Error attempting to download file - File not found error message,P2 - High,Analysis
PME-38682,Apply Now Wizard does not finish,P3 - Medium,Dev
PME-38637,Next Annual Recerts report,P2 - High,Dev
PME-38619,Special Claim Not Showing In Claims Finder,P2 - High,Dev
PME-38477,Unable to transfer Household is over the income limit for the current set-aside,P2 - High,Dev
PME-38472,Data fix/rebuild for Ashburn part of CRC Property Management,P3 - Medium,Dev
PME-38427,Ongoing issue with Gross rent Change,P3 - Medium,Dev
PME-38426,Unable to redistribute unclaimed utility check,P2 - High,Analysis
PME-38421,Unable to correct a certification due to Error Arithmetic Overflow,P3 - Medium,Dev
PME-38385,Electronic Report is not showing all events on all the units when being uploaded,P2 - High,Dev
PME-38383,** Root Cause ** Initial did not pull $27 UA,P3 - Medium,Dev
PME-38381,Residents not showing up for letters,P3 - Medium,Dev
PME-38374,The reports keeps changing values.,P2 - High,Dev
PME-38367,SSN showing in Alien Registration field in Electronic Report,P3 - Medium,Dev
PME-38364,Rent schedule has not updated Units - Residential,P2 - High,Analysis
PME-38334,INC0161311 - Onesite- TRAC corrections,P3 - Medium,Pending Verification
PME-38321,Florida USR report incorrectly reporting in columb 7b,P2 - High,New
PME-38284,Unable to transfer manager unit,P2 - High,Dev
PME-38226,Unable to Process Annual Recertification,P2 - High,Dev
PME-38183,applicants are put under the Low Income limit instead of the applicable VL or E,P3 - Medium,New
PME-38142,Duplicate Annual Recert Notices in PDF,P3 - Medium,Dev
PME-38036,Scheduled billing did not update correctly off of certifications.,P3 - Medium,Dev
